コメント,No,上場馬名,性,生月日,毛色,父,母,母の父,販売者,販売者カナ,飼養者
"No.515
ランウェイの2022
めす　4/17生　鹿毛
父：エピファネイア
母：ランウェイ
母父：キングカメハメハ
販売者：(有)須崎牧場",515,ランウェイの2022,めす,4/17,鹿,エピファネイア,ランウェイ,キングカメハメハ,(有)須崎牧場,スザキボクジョウ,(有)須崎牧場
"No.516
フェイトカラーの2022
牡　2/24生　鹿毛
父：サトノアラジン
母：フェイトカラー
母父：サクラバクシンオー
販売者：(有)ノーザンレーシング",516,フェイトカラーの2022,牡,2/24,鹿,サトノアラジン,フェイトカラー,サクラバクシンオー,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファーム
"No.517
ニカモレイの2022
めす　2/5生　栗毛
父：サンダースノー
母：ニカモレイ
母父：More Than Ready
販売者：(有)天羽禮治牧場",517,ニカモレイの2022,めす,2/5,栗,サンダースノー,ニカモレイ,More Than Ready,(有)天羽禮治牧場,アマバレイジボクジョウ,(有)天羽禮治牧場
"No.518
オリエンタルリリーの2022
牡　3/17生　鹿毛
父：サートゥルナーリア
母：オリエンタルリリー
母父：ダイワメジャー
販売者：(有)グレース",518,オリエンタルリリーの2022,牡,3/17,鹿,サートゥルナーリア,オリエンタルリリー,ダイワメジャー,(有)グレース,グレース,(有)辻牧場
"No.519
レイクキャリーの2022
めす　3/3生　鹿毛
父：マインドユアビスケッツ
母：レイクキャリー
母父：ダイワメジャー
販売者：社台ファーム",519,レイクキャリーの2022,めす,3/3,鹿,マインドユアビスケッツ,レイクキャリー,ダイワメジャー,社台ファーム,シャダイファーム,社台ファーム
"No.520
ウーマンシークレットの2022
牡　3/8生　鹿毛
父：オルフェーヴル
母：ウーマンシークレット
母父：Sadler's Wells
販売者：(有)グランデファーム",520,ウーマンシークレットの2022,牡,3/8,鹿,オルフェーヴル,ウーマンシークレット,Sadler's Wells,(有)グランデファーム,グランデファーム,(有)グランデファーム
"No.521
クラシックリディアの2022
めす　3/16生　鹿毛
父：アルアイン
母：クラシックリディア
母父：ハービンジャー
販売者：ノーザンファーム",521,クラシックリディアの2022,めす,3/16,鹿,アルアイン,クラシックリディア,ハービンジャー,ノーザンファーム,ノーザンファーム,ノーザンファーム
"No.522
クラックシードの2022
牡　3/21生　青鹿毛
父：ブリックスアンドモルタル
母：クラックシード
母父：キングカメハメハ
販売者：(株)オリオンファーム",522,クラックシードの2022,牡,3/21,青鹿,ブリックスアンドモルタル,クラックシード,キングカメハメハ,(株)オリオンファーム,オリオンファーム,(株)オリオンファーム
"No.523
リアンノンの2022
めす　4/24生　栗毛
父：ドレフォン
母：リアンノン
母父：ステイゴールド
販売者：折手牧場",523,リアンノンの2022,めす,4/24,栗,ドレフォン,リアンノン,ステイゴールド,折手牧場,オリテボクジョウ,折手牧場
"No.524
ヴィクトリアマンボの2022
牡　3/16生　鹿毛
父：ジャスタウェイ
母：ヴィクトリアマンボ
母父：ヴィクトワールピサ
販売者：社台ファーム",524,ヴィクトリアマンボの2022,牡,3/16,鹿,ジャスタウェイ,ヴィクトリアマンボ,ヴィクトワールピサ,社台ファーム,シャダイファーム,社台ファーム
"No.525
アンジュシャルマンの2022
めす　3/13生　鹿毛
父：リオンディーズ
母：アンジュシャルマン
母父：マンハッタンカフェ
販売者：ノーザンファーム",525,アンジュシャルマンの2022,めす,3/13,鹿,リオンディーズ,アンジュシャルマン,マンハッタンカフェ,ノーザンファーム,ノーザンファーム,ノーザンファーム
"No.526
レディマドンナの2022
牡　2/2生　鹿毛
父：キズナ
母：レディマドンナ
母父：Distorted Humor
販売者：(有)グランド牧場",526,レディマドンナの2022,牡,2/2,鹿,キズナ,レディマドンナ,Distorted Humor,(有)グランド牧場,グランドボクジョウ,(有)グランド牧場
"No.527
ジェルミナーレの2022
牡　3/14生　鹿毛
父：オルフェーヴル
母：ジェルミナーレ
母父：アドマイヤムーン
販売者：(有)丸幸小林牧場",527,ジェルミナーレの2022,牡,3/14,鹿,オルフェーヴル,ジェルミナーレ,アドマイヤムーン,(有)丸幸小林牧場,マルコウコバヤシボクジョウ,(有)丸幸小林牧場
"No.528
チャームクォークの2022
牡　1/15生　栗毛
父：ルヴァンスレーヴ
母：チャームクォーク
母父：クロフネ
販売者：ノーザンファーム",528,チャームクォークの2022,牡,1/15,栗,ルヴァンスレーヴ,チャームクォーク,クロフネ,ノーザンファーム,ノーザンファーム,ノーザンファーム
"No.529
クールデザインの2022
めす　3/22生　鹿毛
父：ルーラーシップ
母：クールデザイン
母父：ディープインパクト
販売者：社台ファーム",529,クールデザインの2022,めす,3/22,鹿,ルーラーシップ,クールデザイン,ディープインパクト,社台ファーム,シャダイファーム,社台ファーム
"No.530
スターオブサファイアの2022
牡　3/16生　芦毛
父：ダイワメジャー
母：スターオブサファイア
母父：Tapit
販売者：(有)千代田牧場",530,スターオブサファイアの2022,牡,3/16,芦,ダイワメジャー,スターオブサファイア,Tapit,(有)千代田牧場,チヨダボクジョウ,(有)千代田牧場
"No.531
クイーンカトリーンの2022
めす　3/19生　鹿毛
父：リアルスティール
母：クイーンカトリーン
母父：Acclamation
販売者：追分ファーム",531,クイーンカトリーンの2022,めす,3/19,鹿,リアルスティール,クイーンカトリーン,Acclamation,追分ファーム,オイワケファーム,追分ファーム
"No.532
フレイミングクリフスの2022
牡　4/11生　鹿毛
父：ドレフォン
母：フレイミングクリフス
母父：Kingmambo
販売者：田中 裕之",532,フレイミングクリフスの2022,牡,4/11,鹿,ドレフォン,フレイミングクリフス,Kingmambo,田中 裕之,タナカヒロユキ,田中　裕之
"No.533
ソングバードの2022
めす　2/25生　黒鹿毛
父：サトノクラウン
母：ソングバード
母父：ダンスインザダーク
販売者：ノーザンファーム",533,ソングバードの2022,めす,2/25,黒鹿,サトノクラウン,ソングバード,ダンスインザダーク,ノーザンファーム,ノーザンファーム,ノーザンファーム
"No.534
シルヴァーコードの2022
牡　3/18生　芦毛
父：ブリックスアンドモルタル
母：シルヴァーコード
母父：スウェプトオーヴァーボード
販売者：岡田スタッド",534,シルヴァーコードの2022,牡,3/18,芦,ブリックスアンドモルタル,シルヴァーコード,スウェプトオーヴァーボード,岡田スタッド,オカダスタッド,岡田スタッド
"No.535
シェイリーンⅡの2022
牡　1/10生　鹿毛
父：Saxon Warrior
母：シェイリーンⅡ
母父：Rip Van Winkle
販売者：(有)パカパカファーム",535,シェイリーンⅡの2022,牡,1/10,鹿,Saxon Warrior,シェイリーンⅡ,Rip Van Winkle,(有)パカパカファーム,パカパカファーム,(有)パカパカファーム
"No.536
ミセスワタナベの2022
牡　3/6生　鹿毛
父：キンシャサノキセキ
母：ミセスワタナベ
母父：Tapizar
販売者：ノーザンファーム",536,ミセスワタナベの2022,牡,3/6,鹿,キンシャサノキセキ,ミセスワタナベ,Tapizar,ノーザンファーム,ノーザンファーム,ノーザンファーム
"No.537
アドマイヤアロマの2022
めす　1/22生　栗毛
父：マクフィ
母：アドマイヤアロマ
母父：ネオユニヴァース
販売者：(有)ノーザンレーシング",537,アドマイヤアロマの2022,めす,1/22,栗,マクフィ,アドマイヤアロマ,ネオユニヴァース,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファーム
"No.538
デルマオギンの2022
牡　2/24生　栗毛
父：イスラボニータ
母：デルマオギン
母父：ハービンジャー
販売者：社台ファーム",538,デルマオギンの2022,牡,2/24,栗,イスラボニータ,デルマオギン,ハービンジャー,社台ファーム,シャダイファーム,社台ファーム
"No.539
グランデセーヌの2022
牡　2/7生　鹿毛
父：ビッグアーサー
母：グランデセーヌ
母父：ゼンノロブロイ
販売者：(有)ノーザンレーシング",539,グランデセーヌの2022,牡,2/7,鹿,ビッグアーサー,グランデセーヌ,ゼンノロブロイ,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファーム
"No.540
ウィキッドアイズの2022
めす　3/3生　鹿毛
父：ホッコータルマエ
母：ウィキッドアイズ
母父：オルフェーヴル
販売者：ノーザンファーム",540,ウィキッドアイズの2022,めす,3/3,鹿,ホッコータルマエ,ウィキッドアイズ,オルフェーヴル,ノーザンファーム,ノーザンファーム,ノーザンファーム
"No.541
ミカリーニョの2022
牡　2/5生　黒鹿毛
父：サートゥルナーリア
母：ミカリーニョ
母父：ハーツクライ
販売者：吉田 俊介",541,ミカリーニョの2022,牡,2/5,黒鹿,サートゥルナーリア,ミカリーニョ,ハーツクライ,吉田 俊介,ヨシダシュンスケ,ノーザンファーム
