コメント,No,上場馬名,性,生月日,毛色,父,母,母の父,販売者,販売者カナ,飼養者
"No.168
ネオヴィクトリアの2021
牡　4/29生　黒鹿毛
父：レイデオロ
母：ネオヴィクトリア
母父：ディープインパクト
販売者：岡田スタッド",168,ネオヴィクトリアの2021,牡,4/29,黒鹿,レイデオロ,ネオヴィクトリア,ディープインパクト,岡田スタッド,オカダスタッド,岡田スタッド
"No.169
オリオンムーンの2021
めす　2/12生　鹿毛
父：リアルスティール
母：オリオンムーン
母父：Manduro
販売者：社台ファーム",169,オリオンムーンの2021,めす,2/12,鹿,リアルスティール,オリオンムーン,Manduro,社台ファーム,シャダイファーム,社台ファーム
"No.170
ユードントラヴミーの2021
牡　2/17生　鹿毛
父：オルフェーヴル
母：ユードントラヴミー
母父：Teofilo
販売者：(有)ノーザンレーシング",170,ユードントラヴミーの2021,牡,2/17,鹿,オルフェーヴル,ユードントラヴミー,Teofilo,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファームYearling
"No.171
ランブリングローズの2021
めす　3/26生　鹿毛
父：リアルスティール
母：ランブリングローズ
母父：アグネスデジタル
販売者：(有)千代田牧場",171,ランブリングローズの2021,めす,3/26,鹿,リアルスティール,ランブリングローズ,アグネスデジタル,(有)千代田牧場,チヨダボクジョウ,(有)千代田牧場
"No.172
マネーペニーの2021
牡　4/30生　鹿毛
父：エピファネイア
母：マネーペニー
母父：Monarchos
販売者：(株)オリオンファーム",172,マネーペニーの2021,牡,4/30,鹿,エピファネイア,マネーペニー,Monarchos,(株)オリオンファーム,オリオンファーム,(株)オリオンファーム
"No.173
アンリミテッドバジェットの2021
めす　2/20生　鹿毛
父：ドゥラメンテ
母：アンリミテッドバジェット
母父：ストリートセンス
販売者：社台ファーム",173,アンリミテッドバジェットの2021,めす,2/20,鹿,ドゥラメンテ,アンリミテッドバジェット,ストリートセンス,社台ファーム,シャダイファーム,社台ファーム
"No.174
マンハイムの2021
めす　3/19生　栗毛
父：ハービンジャー
母：マンハイム
母父：ダイワメジャー
販売者：(有)ノーザンレーシング",174,マンハイムの2021,めす,3/19,栗,ハービンジャー,マンハイム,ダイワメジャー,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファームYearling
"No.175
レディヴァルールの2021
牡　4/6生　鹿毛
父：オルフェーヴル
母：レディヴァルール
母父：Multiplex
販売者：ＫＲジャパン",175,レディヴァルールの2021,牡,4/6,鹿,オルフェーヴル,レディヴァルール,Multiplex,ＫＲジャパン,ケーアールジャパン,(有)浦河育成センター
"No.176
オリエンタルリリーの2021
めす　2/15生　鹿毛
父：ドゥラメンテ
母：オリエンタルリリー
母父：ダイワメジャー
販売者：(有)グレース",176,オリエンタルリリーの2021,めす,2/15,鹿,ドゥラメンテ,オリエンタルリリー,ダイワメジャー,(有)グレース,グレース,(有)パイオニアファーム
"No.177
アドマイヤアローの2021
牡　2/17生　鹿毛
父：ルーラーシップ
母：アドマイヤアロー
母父：ワークフォース
販売者：(有)ノーザンレーシング",177,アドマイヤアローの2021,牡,2/17,鹿,ルーラーシップ,アドマイヤアロー,ワークフォース,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファームYearling
"No.178
ストラスペイの2021
めす　3/29生　鹿毛
父：リアルスティール
母：ストラスペイ
母父：シンボリクリスエス
販売者：(株)レイクヴィラファーム",178,ストラスペイの2021,めす,3/29,鹿,リアルスティール,ストラスペイ,シンボリクリスエス,(株)レイクヴィラファーム,レイクヴィラファーム,ノーザンファームYearling
"No.179
パッシフローラの2021
牡　3/19生　鹿毛
父：リオンディーズ
母：パッシフローラ
母父：ディープインパクト
販売者：ノーザンファーム",179,パッシフローラの2021,牡,3/19,鹿,リオンディーズ,パッシフローラ,ディープインパクト,ノーザンファーム,ノーザンファーム,ノーザンファームYearling
"No.180
ブギーダモーレの2021
めす　4/15生　鹿毛
父：ダイワメジャー
母：ブギーダモーレ
母父：Rail Link
販売者：社台ファーム",180,ブギーダモーレの2021,めす,4/15,鹿,ダイワメジャー,ブギーダモーレ,Rail Link,社台ファーム,シャダイファーム,社台ファーム
"No.181
サトノジュピターの2021
めす　2/28生　栗毛
父：ブリックスアンドモルタル
母：サトノジュピター
母父：アグネスタキオン
販売者：(有)ノーザンレーシング",181,サトノジュピターの2021,めす,2/28,栗,ブリックスアンドモルタル,サトノジュピター,アグネスタキオン,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファームYearling
"No.182
アラドヴァルの2021
牡　5/1生　鹿毛
父：ルーラーシップ
母：アラドヴァル
母父：シンボリクリスエス
販売者：社台ファーム",182,アラドヴァルの2021,牡,5/1,鹿,ルーラーシップ,アラドヴァル,シンボリクリスエス,社台ファーム,シャダイファーム,(有)社台コーポレーション白老ファームYearling
