コメント,上場日,上場No.,馬名,性,毛色,生月日,父,母,母の父,申込者名,飼養者名,当日の上場順
"No.122
アンシェンヌヴィル２０２１
牡　5月8日生　鹿毛
父：デクラレーションオブウォー
母：アンシェンヌヴィル
母父：ディープインパクト
㈲千代田牧場",7/26（火）,122,アンシェンヌヴィル２０２１,牡,鹿,5月8日,デクラレーションオブウォー,アンシェンヌヴィル,ディープインパクト,㈲千代田牧場,㈲千代田牧場,122
"No.123
センセーション２０２１
牡　3月29日生　鹿毛
父：ヘニーヒューズ
母：センセーション
母父：ゼンノロブロイ
㈲天羽牧場",7/26（火）,123,センセーション２０２１,牡,鹿,3月29日,ヘニーヒューズ,センセーション,ゼンノロブロイ,㈲天羽牧場,㈲荻伏共同育成場,123
"No.124
トゥルヴァ２０２１
♀　3月1日生　鹿毛
父：キズナ
母：トゥルヴァ
母父：Frankel
㈲富田牧場",7/26（火）,124,トゥルヴァ２０２１,♀,鹿,3月1日,キズナ,トゥルヴァ,Frankel,㈲富田牧場,富田ステーブル,124
"No.125
ディアレストトリックスキ２０２１
牡　2月20日生　鹿毛
父：シニスターミニスター
母：ディアレストトリックスキ
母父：Proudest Romeo
㈲服部牧場",7/26（火）,125,ディアレストトリックスキ２０２１,牡,鹿,2月20日,シニスターミニスター,ディアレストトリックスキ,Proudest Romeo,㈲服部牧場,㈲服部牧場,125
"No.126
アイアムノココロ２０２１
♀　3月15日生　鹿毛
父：パイロ
母：アイアムノココロ
母父：フジキセキ
㈲上水牧場",7/26（火）,126,アイアムノココロ２０２１,♀,鹿,3月15日,パイロ,アイアムノココロ,フジキセキ,㈲上水牧場,㈲パイオニアファーム,126
"No.127
オートロンシャン２０２１
♀　2月18日生　黒鹿毛
父：スワーヴリチャード
母：オートロンシャン
母父：クロフネ
高橋　陵",7/26（火）,127,オートロンシャン２０２１,♀,黒鹿,2月18日,スワーヴリチャード,オートロンシャン,クロフネ,高橋　陵,㈲福山育成牧場,127
"No.128
アトラクティヴレディ２０２１
♀　3月28日生　鹿毛
父：ドゥラメンテ
母：アトラクティヴレディ
母父：Teofilo
㈲ＰＲＩＤＥ　ＲＯＣＫ",7/26（火）,128,アトラクティヴレディ２０２１,♀,鹿,3月28日,ドゥラメンテ,アトラクティヴレディ,Teofilo,㈲ＰＲＩＤＥ　ＲＯＣＫ,㈲グランド牧場,128
"No.129
ホーマンピクシー２０２１
牡　3月9日生　栗毛
父：マジェスティックウォリアー
母：ホーマンピクシー
母父：キングカメハメハ
㈱前谷牧場",7/26（火）,129,ホーマンピクシー２０２１,牡,栗,3月9日,マジェスティックウォリアー,ホーマンピクシー,キングカメハメハ,㈱前谷牧場,㈱前谷牧場,129
"No.130
アドマイヤマリリン２０２１
牡　4月15日生　栗毛
父：ヘニーヒューズ
母：アドマイヤマリリン
母父：アグネスタキオン
高橋　義浩",7/26（火）,130,アドマイヤマリリン２０２１,牡,栗,4月15日,ヘニーヒューズ,アドマイヤマリリン,アグネスタキオン,高橋　義浩,カルペディエム　メイド（奥山牧場内）,130
"No.131
ダイヤモンドギフト２０２１
牡　3月9日生　芦毛
父：ゴールドシップ
母：ダイヤモンドギフト
母父：ブライアンズタイム
㈲フジワラファーム",7/26（火）,131,ダイヤモンドギフト２０２１,牡,芦,3月9日,ゴールドシップ,ダイヤモンドギフト,ブライアンズタイム,㈲フジワラファーム,㈲フジワラファーム,131
